section_name,item_no,result_json
column grants,44,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,45,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,46,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,47,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,48,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,49,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,50,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,51,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,52,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,53,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,54,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,55,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,56,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,57,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,58,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,59,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,60,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,61,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,62,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,63,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,64,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,65,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,66,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,67,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,68,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,69,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,70,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,71,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,72,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""authenticated"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,73,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,74,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,75,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,76,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,77,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,78,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,79,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,80,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,81,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,82,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,83,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,84,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,85,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,86,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,87,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,88,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,89,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,90,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,91,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,92,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,93,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,94,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,95,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,96,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,97,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,98,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,99,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,100,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,101,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,102,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,103,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,104,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,105,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,106,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,107,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,108,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,109,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,110,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,111,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,112,"{""table"":""participants"",""column"":""penalties"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,113,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,114,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,115,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,116,"{""table"":""participants"",""column"":""room_id"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,117,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""INSERT""}"
column grants,118,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""REFERENCES""}"
column grants,119,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""SELECT""}"
column grants,120,"{""table"":""participants"",""column"":""wins"",""schema"":""public"",""grantee"":""postgres"",""grantor"":""postgres"",""is_grantable"":""YES"",""privilege_type"":""UPDATE""}"
column grants,121,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,122,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
column grants,123,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,124,"{""table"":""participants"",""column"":""choice"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,125,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,126,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
column grants,127,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,128,"{""table"":""participants"",""column"":""created_at"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,129,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,130,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
column grants,131,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,132,"{""table"":""participants"",""column"":""draws"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,133,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,134,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
column grants,135,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,136,"{""table"":""participants"",""column"":""id"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,137,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,138,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
column grants,139,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,140,"{""table"":""participants"",""column"":""is_host"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,141,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,142,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
column grants,143,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,144,"{""table"":""participants"",""column"":""is_ready"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,145,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,146,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
column grants,147,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,148,"{""table"":""participants"",""column"":""leave_after_round"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,149,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,150,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
column grants,151,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""SELECT""}"
column grants,152,"{""table"":""participants"",""column"":""losses"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""UPDATE""}"
column grants,153,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""INSERT""}"
column grants,154,"{""table"":""participants"",""column"":""name"",""schema"":""public"",""grantee"":""service_role"",""grantor"":""postgres"",""is_grantable"":""NO"",""privilege_type"":""REFERENCES""}"
